"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07"
9,"California",1,267300,266900,266700,266700,266900,267400,268100,269000,270100,271400,272600,273600,274600,275900,277400,278900,280600,282400,284200,286100,288300,290500,292500,294300,296300,298400,300500,302700,305000,307400,309800,312300,315200,318200,321200,324100,327200,330200,333300,336300,339400,342700,346300,350200,354700,359500,364300,368800,373100,377300,381300,385200,388900,392700,396600,400600,404700,408800,412800,416500,420000,423200,426300,429300,432300,435300,438400,441500,444700,448200,451800,455500,459300,463400,467700,472300,477100,482100,487400,492900,498400,503900,509500,515300,521500,528000,535100,542600,550500,558700,567400,576500,586200,596400,607100,618700,631400,644700,658400,671800,684400,696100,707100,717100,726900,736500,745800,755100,764400,772900,780900,788100,794200,799500,804000,807600,810500,813100,815300,817200,818200,818400,817700,815700,812400,808800,805200,801600,798100,794900,791000,786200,780600,774400,767900,760700,752500,743900,735000,725500,715400,704800,693500,681300,668600,656600,645700,636500,629000,622900,617200,611900,607000,602500,597600,591500,584500,577000,571000,568000,567300,567600,568800,570300,572000,573800,574700,573900,573800,574700,574000,571000,568200,565100,561600,557600,553500,548900,544800,541900,539600,537300,535200,533200,531100,528400,526400,525600,524600,523300,524000,527000,531000,535400,540300,545700,550600,555300,560600,566800,573200,579300,586200,595100,605600,616100,626500,635700,643400,649800,654400,657600,660900,664500,668400,672400,675400,677700,679700,681600,683300,685700,688400,691200,694100,697800,702200,706200,710100,714300,718300,721100,724000,728100,731500,734800,739100,743600,745700,747500,749800,752200,754000,756900,760600,764500,768100,772200,776900,781500,785300,788800,792000,794400,797500,801000,804300,807500,811100,815200,820200,827000,833600,837000,837900,840000,842400,844400,846400,847700,848900,851400,854000,854800,854300,852300,849600,847600,846700,846000
54,"Texas",2,261900,261100,260400,259700,259300,259000,258600,258100,257100,255700,254100,252800,252300,252600,253700,255300,257200,259400,261800,264400,267300,270000,272100,273100,273200,272500,271400,270300,269800,270400,272200,275600,280800,286700,292400,297200,300800,302900,303800,303800,303400,302900,302800,303500,305000,307300,310000,312300,313600,313500,312200,310100,307800,305400,303200,301200,299600,298400,297600,297000,296700,296700,296800,296700,296200,295200,293600,291700,289600,287500,285700,284400,283800,284200,285100,286500,287700,288700,289300,289300,288700,287900,287000,286200,285600,285300,285200,285300,285400,285700,285900,286200,286600,287300,288500,290100,292200,294400,296500,298700,300900,303100,305200,307200,309100,310700,312100,313300,314500,315600,316700,317900,319100,320200,321400,322800,324300,326000,327600,329100,330300,331500,332600,333700,335000,336300,337800,339100,340400,341500,342200,342600,342800,342900,343000,343000,343100,343300,343700,344200,344500,344300,343600,342300,340500,338600,336800,335200,334100,333000,331800,330400,328800,326900,325000,323200,321700,320400,319300,318200,317200,316300,315500,314900,314300,313800,313200,313200,313300,313100,312600,312200,311800,311400,310700,309900,308800,308300,308300,308200,307700,307700,308000,308300,308400,308600,308900,309300,309900,310700,311600,312300,312900,313600,314000,314300,314900,315400,315800,316500,317200,317700,318300,319200,320700,322400,324400,327200,330000,332600,335300,338100,340700,343300,345800,348300,350900,353500,356700,360100,362800,364900,367100,369400,371900,373800,374900,376500,379000,381200,383200,385300,387500,389500,390900,392100,393200,394200,395300,396900,398700,400700,402500,403700,404500,405600,406800,407900,408900,409700,410400,411600,413200,414400,415300,416300,417700,419600,421000,421700,422100,423300,425100,426400,427000,428700,430700,431600,431400,431000,431500,433300,436000,438500,439600,439200,438500,437700,436100,434600
43,"New York",3,142700,142800,142800,142800,142700,142700,142700,142800,142900,143200,143400,143500,143600,143600,143600,143600,143700,143900,144200,144600,145000,145500,145900,146200,146500,146700,147100,147600,148200,148800,149600,150400,151200,152200,153000,153800,154700,155700,156900,158200,159400,160500,161600,162600,163700,165000,166400,167800,169300,170600,171900,173000,174000,175000,176200,177400,178900,180500,182000,183500,184900,186300,187800,189200,190700,192300,194000,195900,198000,200200,202400,204800,207300,209900,212700,215700,218700,221700,224800,227900,231000,233900,236600,239100,241700,244100,246400,248500,250300,251900,253400,254600,255900,257500,259500,261800,264500,267200,270200,273300,276500,279600,282700,285500,288200,290800,293200,295400,297500,299500,301400,303400,305400,307400,309500,311600,313700,315500,317000,318400,319700,320700,321600,322300,323000,323700,324500,325300,326200,327100,327800,328500,329000,329300,329400,329200,328700,328100,327100,325900,324400,322700,321100,319600,317900,316200,314300,312300,310000,307700,305400,303300,301300,299500,297900,296300,294700,292700,290800,289500,288900,288700,288800,288900,289100,289300,289900,289600,288600,287800,287400,286600,285400,283900,282700,281800,280700,279200,277200,275300,274100,273700,273300,272700,272000,271200,270300,269300,268600,268000,267300,266900,266700,266500,266000,265500,265400,265800,265900,266100,266600,267100,267400,268200,269300,270500,271700,272800,273800,274400,274900,275500,275800,276000,276600,277500,277800,277800,277600,277800,278000,278400,279200,279800,280000,280300,281000,281100,281400,281900,282700,283400,284700,286000,286900,287300,287500,287500,287500,287900,289000,290000,290900,292100,293100,293800,294500,295500,296800,298200,299400,300800,302300,303800,305600,307800,309700,311100,312100,313300,315100,317400,319500,321000,322000,323100,324300,325300,326500,327800,329400,331100,332800,334600,336600,338200,339000,339500,340100,340100
14,"Florida",4,199700,200300,201200,202200,203300,204300,205100,205500,205700,205700,205500,205100,204900,205000,205300,206000,206700,207700,208700,209800,210900,212100,213100,213900,214600,215400,216100,216800,217600,218600,219600,220700,222100,223500,224700,225900,227200,228600,230100,231600,233100,234600,236100,237600,239300,241000,242700,244200,245600,246900,248200,249500,250900,252500,254400,256500,258900,261500,264000,266300,268500,270600,272500,274300,276100,277900,279700,281500,283400,285400,287300,289100,290800,292400,294300,296300,298500,301000,303700,306700,309600,312500,315300,318300,321200,324000,326800,329600,332300,335100,338100,341200,344600,348100,351700,355700,360000,365000,370600,376800,383300,390100,397100,404000,411100,418400,426100,434600,444000,453600,463100,472400,481200,489200,496700,503800,510900,517800,524500,531300,538100,543900,548500,551900,554000,555000,555300,554700,553800,552800,551500,550300,549000,546900,543500,539000,533600,527600,521100,514100,506600,498900,490600,482400,474500,466500,458200,450300,442600,435200,428000,421000,414100,407700,401100,394400,387800,380600,373700,368800,365600,363400,362000,360900,360400,360400,361100,358400,353200,349600,348200,345500,342000,338500,335600,333200,330500,327700,325000,323700,323300,322900,322400,322800,323500,324300,325200,326000,326400,326600,326400,326700,327900,329200,329900,330300,331100,331600,331800,332300,333700,335300,337400,339900,342500,345100,348000,350800,353600,356300,358500,360900,363000,364700,366700,369200,371500,373500,375600,377600,379500,381000,381900,382600,383400,384200,384900,386500,388900,391400,393400,395300,397200,399200,401100,403300,405300,407200,409100,411400,413900,416000,418000,420200,422300,424900,428100,431600,434500,436700,437700,438700,440500,442100,442900,443700,445000,446200,447100,447600,448800,451200,454500,457000,459100,461100,463000,464400,465200,466300,468200,470200,472300,474900,476700,477100,476700,476300,476100,476100
21,"Illinois",5,260700,261900,262700,263100,263000,262500,261600,260300,259200,258400,257200,255700,254200,252700,251000,248900,246600,244500,243000,242300,242800,244400,246300,248400,251100,254300,258100,262300,266700,271100,275200,278600,281400,283700,285000,285500,286000,286500,287300,288400,289900,291700,293900,296500,299700,303500,307100,310400,313800,317100,320400,323500,326600,329500,332400,335100,337800,340400,342500,344100,345400,346600,347600,348800,350100,351600,353300,355000,357000,359100,361300,363700,366100,368600,371100,373600,376100,378500,380800,383100,385400,387600,389800,392100,394400,396400,398100,399700,401400,403300,405300,407600,410100,412900,415700,418600,421700,425100,428900,433100,437300,441500,445500,449200,452700,455900,459000,462300,465900,469700,473800,477900,481800,485600,489400,492900,496200,499300,502000,504700,507300,509300,510900,512400,513700,515100,516700,518100,519600,521100,522200,522900,523300,523000,522100,521200,520200,519200,518100,516400,513800,510700,507200,504200,501400,498200,494400,490200,485500,481100,477400,473700,469700,466000,462200,458000,453100,447400,441700,437200,433900,431400,429800,428700,428200,428500,429800,427700,422700,419300,417800,414600,411300,407800,403700,400700,398500,397100,396100,394600,392300,390000,387200,384800,383400,382200,380500,378500,377600,375600,372300,370900,372500,374500,376600,378700,380000,380700,381300,381600,381700,381500,381800,383600,386500,389600,393300,398000,401400,403500,405100,405800,405600,405800,406500,407500,408900,411200,413300,414900,416000,416300,415700,415800,416000,415800,415500,416600,417900,418300,418300,418600,418800,419600,420900,422000,422700,423200,423600,423900,424500,425600,426200,425500,425100,425400,426400,428300,429900,430000,429600,429700,430400,431300,432200,433200,435000,437000,439100,440300,440600,441900,444300,445400,444900,444500,444300,444400,444100,443300,442500,442600,443900,445700,447600,449600,450400,448700,445300,442300
47,"Pennsylvania",6,145500,145500,145700,145900,146300,146700,147400,148000,148700,149400,150000,150400,150700,150900,151100,151200,151400,151500,151700,151800,151800,151800,151900,151900,151900,152000,152200,152400,152700,153000,153400,153900,154600,155400,156400,157300,158100,158900,159500,159900,160100,160100,160100,160300,160600,161300,162200,163200,164400,165500,166700,167900,169100,170300,171500,172600,173700,174900,176100,177200,178100,179000,179800,180700,181600,182700,183800,185000,186300,187600,188900,190200,191500,192800,194200,195700,197400,199300,201300,203500,205700,207500,208900,210400,212100,214200,216500,219200,221900,224500,227000,229400,231500,233600,235800,238100,240500,242800,245000,247100,249300,251500,253800,256100,258600,261400,264300,267300,270400,273300,276100,278700,281100,283400,285800,288000,290000,291600,293000,294400,295600,296900,298200,299400,300400,301300,302000,302600,303100,303600,304000,304300,304600,304700,304800,304900,305000,304900,304500,303900,303100,302200,301300,300200,299100,297800,296400,295100,294000,293000,292200,291300,290500,289900,289300,288700,287900,286800,285500,284300,283200,282400,281600,281000,280500,280400,280700,280700,280500,280500,280300,279400,278300,277100,275800,274600,273600,272800,271900,271100,270300,269500,268800,268300,267500,266400,266000,265800,265600,265100,264500,264300,264200,263800,263400,263400,263700,264000,264200,265000,265700,265800,265800,266000,266200,266900,267700,268300,269100,270100,270300,270300,270600,271300,271600,271900,272500,273300,274000,274600,275400,276200,277000,277800,278300,278400,278700,279000,279600,280400,281600,282800,284000,285000,285900,286300,286800,287600,288400,288800,289200,290000,291000,292000,292900,294000,295400,296900,298300,299500,300600,301900,303600,305300,306800,308400,310000,311400,312000,312500,313400,315300,317500,319500,321100,322600,323500,324500,325100,325500,326400,327900,329000,329600,330400,331000,331000,330600,330700,330800
44,"Ohio",7,144000,144200,144500,144800,145100,145500,145900,146300,146700,147100,147700,148300,149100,150100,151100,152200,153300,154300,155200,155900,156400,156800,157100,157300,157400,157700,158100,158600,159200,160000,160800,161400,161900,162300,162500,162800,163100,163500,164000,164600,165300,166000,166800,167700,168600,169500,170500,171500,172300,173100,173700,174400,175000,175600,176300,177200,178100,179100,180200,181300,182400,183200,183800,184300,184700,184900,185100,185400,185700,186200,186700,187400,188200,188900,189500,190100,190600,191200,191800,192600,193600,194600,195500,196300,196900,197400,197900,198500,199300,200400,201500,202600,203600,204400,204900,205400,205900,206700,207600,208600,209500,210300,211100,211800,212400,212900,213200,213300,213500,213800,214300,214900,215500,216100,216700,217200,217500,217600,217900,218300,218900,219300,219700,219800,219800,219500,219300,219100,219000,219000,219000,219000,218900,218400,217700,216900,216200,215400,214500,213500,212600,211700,210900,210200,209500,208700,207800,206900,206000,205100,204300,203600,203000,202400,201900,201400,201000,200400,199500,198600,197900,197400,197000,196900,196900,197100,197400,197000,196400,196600,197100,197000,196700,196400,195900,195000,194000,193200,192300,191400,190600,189700,188800,188300,188500,188700,188700,188800,189200,189500,190200,191300,191900,192300,193000,193700,194000,194300,194800,195400,196000,196500,196700,196700,197300,198400,199500,200700,201800,202500,203200,204100,204800,205300,205600,206400,207300,208000,208600,209100,209400,209800,210300,210800,211500,212100,212800,213500,214200,214900,215600,216900,218600,219800,220600,221300,222000,222900,223700,224400,225400,226500,227700,228700,229600,230500,231300,232100,232900,233700,234900,236600,238200,239700,240800,241700,242600,243600,244900,246300,247200,248100,249300,250600,251900,253600,255100,256200,257500,259200,261100,263200,265200,266800,267700,267700,267100,266400,266200,266100
30,"Michigan",8,153900,155200,156500,157700,158900,160100,161400,162600,163900,165400,166800,168000,169200,170300,171400,172300,173200,174000,174700,175200,175800,176500,177200,177900,178900,179900,181000,182100,183300,184300,185500,186800,188300,190100,191800,193400,195200,197000,198900,200800,202700,204500,206200,207900,209700,211800,213900,216100,218400,220700,223000,225100,226900,228400,229600,230400,230900,231100,231000,230500,229800,228900,228100,227200,226600,226200,226300,226800,227800,229100,230900,232800,234700,236300,237800,239000,240000,241000,241800,242700,243300,243000,242000,240800,239900,239400,239300,239600,240200,241100,242200,243200,244200,245200,246200,247200,248200,249100,250100,251200,252400,253700,255100,256700,258500,260400,262200,263800,265500,266800,268000,268900,269600,270100,270500,270700,270800,271000,271200,271500,271900,272000,272000,271800,271400,270600,269500,268200,266900,265600,264500,263500,262600,261400,260000,258500,256700,254700,252800,250900,248900,247000,245000,243100,241300,239400,237200,235000,232700,230400,228400,226500,224600,222800,221200,219700,218100,216200,214300,212800,211600,210500,209800,209300,208900,208800,209300,208500,206300,204800,204800,204600,204400,204300,204000,203600,203100,202400,201500,201200,201300,201300,200700,200000,199800,200500,201200,201700,202300,202800,203000,203300,204700,206700,208100,209200,210700,212100,213600,215300,216900,218500,220000,221700,223800,225700,227300,229800,232500,234700,236100,237400,239000,240800,242500,243900,245400,247100,249300,251700,253200,253800,254700,256000,257600,258900,260000,261200,262500,263600,265000,266400,267700,269200,270700,272200,273700,274800,275700,277000,278300,279600,281400,283300,284700,285700,286800,287800,288900,290000,291500,293600,295500,297300,298900,299900,300600,301900,303400,305000,306200,307700,310200,312500,314100,316100,318300,320700,322900,324300,325300,326500,328100,330100,331600,332500,333600,334100,333000,331200
16,"Georgia",9,205000,206200,207400,208500,209600,210500,211300,212000,212800,213600,214200,214500,214800,215100,215600,216100,216700,217200,217700,218000,218300,218900,219600,220400,221600,223000,224600,226200,227800,229400,231100,232800,234800,236700,238400,239800,241200,242500,244100,245800,247600,249500,251600,253700,256100,258600,260900,262900,264600,266100,267500,268800,270100,271400,272800,274300,275800,277400,278700,279800,280800,281700,282600,283700,284800,286100,287400,288800,290400,292200,294300,296300,298200,299700,300800,301600,302000,302300,302700,303500,304600,305900,307300,308400,309300,309700,310000,310300,310800,311500,312400,313000,313200,312900,312400,312300,312900,314200,316300,318900,321800,324500,327200,329600,331800,334000,336100,338300,340900,343600,346400,349200,352000,354700,357300,359700,361900,364000,366100,368300,370800,373400,375800,378200,380300,382400,384300,385900,387500,389100,390300,391600,392600,393000,392900,392500,392000,391400,390400,389100,387500,385900,384000,382300,380600,378200,375000,371300,367200,363300,359600,355900,352500,349400,346300,343400,340200,336400,332300,329200,327200,325600,324000,322500,321400,321000,321500,319400,315500,313300,313100,311500,309500,307000,304600,302600,300600,298300,295700,293500,292100,290600,288600,287100,285600,283900,282400,281400,280800,280400,279800,279500,279900,281000,282100,283500,285200,287500,289700,291600,293200,294200,295800,298200,300100,301800,303800,306000,307900,309900,311900,313700,315500,317100,318800,321200,323800,326200,328700,330800,332300,333300,334400,335700,336900,337600,338000,339000,340800,342300,342900,343600,344900,345900,346600,347300,347800,348600,349800,351400,353500,355700,357900,360300,362700,364600,366300,368000,369800,371700,373200,374600,376300,377700,378500,379100,380000,381100,381900,382900,384800,387800,390900,393300,394900,396500,397600,398100,398100,399100,401700,404500,406400,407800,409100,409900,409900,409300,408900,409000
36,"North Carolina",10,216300,218200,219300,219800,219900,219600,219600,220000,221400,223800,226600,229000,231000,232200,232500,232000,230700,228700,226100,222800,219100,215700,212900,210500,208800,207600,206800,206500,206900,208100,209800,211700,213700,215800,217500,219200,221200,223600,226300,228800,231000,232500,233400,233500,233100,232300,231000,229300,227700,227000,227600,229500,232400,236000,239800,243300,246600,249800,252600,254500,255600,255900,255600,255200,254700,254500,254600,254900,255700,257100,259300,261700,263700,265300,266400,267100,267800,268700,269500,271100,272700,273300,272900,272900,273500,274900,276700,278700,280600,282300,283900,285200,285900,286200,286200,286300,287000,288300,289900,291600,293300,295100,297200,299200,301200,303200,305100,307000,309100,311500,314400,317900,321900,325900,329700,333300,336800,340400,344100,348000,351800,355300,358500,361400,364300,367100,369700,372000,374000,375800,377200,378500,380000,381400,382900,384700,386200,387200,387600,387700,387700,387900,387900,388200,388100,387100,385400,383300,380800,378200,375900,373900,372400,371700,371400,371600,371400,370200,367900,365000,362000,359300,356800,354800,353800,353700,354600,353900,351300,349500,348400,346700,344800,343000,341100,339300,337100,334800,332400,330000,328600,327900,327200,326300,325500,324900,324800,324700,324800,325100,325200,325100,325100,324800,324700,324700,324700,324800,325500,326300,326800,326800,327200,328400,329800,331300,332900,335000,337300,339300,340900,342400,344100,345200,345500,346000,347300,348900,350200,351300,352200,353200,353800,354600,355800,357000,358100,359400,360600,361800,363100,364300,365100,365900,366600,367300,368000,368800,370000,372000,374300,376000,377300,379000,380800,382000,383100,384300,385200,386300,388000,390000,391500,392600,393300,393900,394700,395500,396000,396600,397800,399800,402100,403800,404700,405400,406400,407400,408400,410500,413400,415900,417700,419300,420200,420800,421400,421600,421700,422000
